number,season,episode,airdate,title,tvmaze link
170,8,17,02 Mar 97,"My Sister, My Sitter","https://www.tvmaze.com/episodes/5167/the-simpsons-8x17-my-sister-my-sitter"
171,8,18,16 Mar 97,"Homer vs. the Eighteenth Amendment","https://www.tvmaze.com/episodes/5168/the-simpsons-8x18-homer-vs-the-eighteenth-amendment"
172,8,19,06 Apr 97,"Grade School Confidential","https://www.tvmaze.com/episodes/5169/the-simpsons-8x19-grade-school-confidential"
173,8,20,13 Apr 97,"The Canine Mutiny","https://www.tvmaze.com/episodes/5170/the-simpsons-8x20-the-canine-mutiny"
174,8,21,20 Apr 97,"The Old Man and Lisa","https://www.tvmaze.com/episodes/5171/the-simpsons-8x21-the-old-man-and-lisa"
175,8,22,27 Apr 97,"In Marge We Trust","https://www.tvmaze.com/episodes/5172/the-simpsons-8x22-in-marge-we-trust"
176,8,23,04 May 97,"Homer's Enemy","https://www.tvmaze.com/episodes/5173/the-simpsons-8x23-homers-enemy"
177,8,24,11 May 97,"The Simpsons Spin-Off Showcase","https://www.tvmaze.com/episodes/5174/the-simpsons-8x24-the-simpsons-spin-off-showcase"
178,8,25,18 May 97,"The Secret War of Lisa Simpson","https://www.tvmaze.com/episodes/5175/the-simpsons-8x25-the-secret-war-of-lisa-simpson"
179,9,1,21 Sep 97,"The City of New York vs. Homer Simpson","https://www.tvmaze.com/episodes/5176/the-simpsons-9x01-the-city-of-new-york-vs-homer-simpson"
180,9,2,28 Sep 97,"The Principal and the Pauper","https://www.tvmaze.com/episodes/5177/the-simpsons-9x02-the-principal-and-the-pauper"
181,9,3,19 Oct 97,"Lisa's Sax","https://www.tvmaze.com/episodes/5178/the-simpsons-9x03-lisas-sax"
182,9,4,26 Oct 97,"Treehouse of Horror VIII","https://www.tvmaze.com/episodes/5179/the-simpsons-9x04-treehouse-of-horror-viii"
183,9,5,02 Nov 97,"The Cartridge Family","https://www.tvmaze.com/episodes/5180/the-simpsons-9x05-the-cartridge-family"
184,9,6,09 Nov 97,"Bart Star","https://www.tvmaze.com/episodes/5181/the-simpsons-9x06-bart-star"
185,9,7,16 Nov 97,"The Two Mrs. Nahasapeemapetilons","https://www.tvmaze.com/episodes/5182/the-simpsons-9x07-the-two-mrs-nahasapeemapetilons"
186,9,8,23 Nov 97,"Lisa the Skeptic","https://www.tvmaze.com/episodes/5183/the-simpsons-9x08-lisa-the-skeptic"
187,9,9,07 Dec 97,"Realty Bites","https://www.tvmaze.com/episodes/5184/the-simpsons-9x09-realty-bites"
188,9,10,21 Dec 97,"Miracle on Evergreen Terrace","https://www.tvmaze.com/episodes/5185/the-simpsons-9x10-miracle-on-evergreen-terrace"
189,9,11,04 Jan 98,"All Singing, All Dancing","https://www.tvmaze.com/episodes/5186/the-simpsons-9x11-all-singing-all-dancing"
190,9,12,11 Jan 98,"Bart Carny","https://www.tvmaze.com/episodes/5187/the-simpsons-9x12-bart-carny"
191,9,13,08 Feb 98,"The Joy of Sect","https://www.tvmaze.com/episodes/5188/the-simpsons-9x13-the-joy-of-sect"
192,9,14,15 Feb 98,"Das Bus","https://www.tvmaze.com/episodes/5189/the-simpsons-9x14-das-bus"
193,9,15,22 Feb 98,"The Last Temptation of Krusty","https://www.tvmaze.com/episodes/5190/the-simpsons-9x15-the-last-temptation-of-krusty"
194,9,16,01 Mar 98,"Dumbbell Indemnity","https://www.tvmaze.com/episodes/5191/the-simpsons-9x16-dumbbell-indemnity"
195,9,17,08 Mar 98,"Lisa the Simpson","https://www.tvmaze.com/episodes/5192/the-simpsons-9x17-lisa-the-simpson"
196,9,18,22 Mar 98,"This Little Wiggy","https://www.tvmaze.com/episodes/5193/the-simpsons-9x18-this-little-wiggy"
197,9,19,29 Mar 98,"Simpson Tide","https://www.tvmaze.com/episodes/5194/the-simpsons-9x19-simpson-tide"
198,9,20,05 Apr 98,"The Trouble with Trillions","https://www.tvmaze.com/episodes/5195/the-simpsons-9x20-the-trouble-with-trillions"
199,9,21,19 Apr 98,"Girly Edition","https://www.tvmaze.com/episodes/5196/the-simpsons-9x21-girly-edition"
200,9,22,26 Apr 98,"Trash of the Titans","https://www.tvmaze.com/episodes/5197/the-simpsons-9x22-trash-of-the-titans"
201,9,23,03 May 98,"King of the Hill","https://www.tvmaze.com/episodes/5198/the-simpsons-9x23-king-of-the-hill"
202,9,24,10 May 98,"Lost Our Lisa","https://www.tvmaze.com/episodes/5199/the-simpsons-9x24-lost-our-lisa"
203,9,25,17 May 98,"Natural Born Kissers","https://www.tvmaze.com/episodes/5200/the-simpsons-9x25-natural-born-kissers"
204,10,1,23 Aug 98,"Lard of the Dance","https://www.tvmaze.com/episodes/5201/the-simpsons-10x01-lard-of-the-dance"
205,10,2,20 Sep 98,"The Wizard of Evergreen Terrace","https://www.tvmaze.com/episodes/5202/the-simpsons-10x02-the-wizard-of-evergreen-terrace"
206,10,3,27 Sep 98,"Bart the Mother","https://www.tvmaze.com/episodes/5203/the-simpsons-10x03-bart-the-mother"
207,10,4,25 Oct 98,"Treehouse of Horror IX","https://www.tvmaze.com/episodes/5204/the-simpsons-10x04-treehouse-of-horror-ix"
208,10,5,08 Nov 98,"When You Dish Upon a Star","https://www.tvmaze.com/episodes/5205/the-simpsons-10x05-when-you-dish-upon-a-star"
209,10,6,15 Nov 98,"D'Oh-in' in the Wind","https://www.tvmaze.com/episodes/5206/the-simpsons-10x06-doh-in-in-the-wind"
210,10,7,22 Nov 98,"Lisa Gets an "A"","https://www.tvmaze.com/episodes/5207/the-simpsons-10x07-lisa-gets-an-a"
211,10,8,06 Dec 98,"Homer Simpson in: "Kidney Trouble"","https://www.tvmaze.com/episodes/5208/the-simpsons-10x08-homer-simpson-in-kidney-trouble"
212,10,9,20 Dec 98,"Mayored to the Mob","https://www.tvmaze.com/episodes/5209/the-simpsons-10x09-mayored-to-the-mob"
213,10,10,10 Jan 99,"Viva Ned Flanders","https://www.tvmaze.com/episodes/5210/the-simpsons-10x10-viva-ned-flanders"
214,10,11,17 Jan 99,"Wild Barts Can't Be Broken","https://www.tvmaze.com/episodes/5211/the-simpsons-10x11-wild-barts-cant-be-broken"
215,10,12,31 Jan 99,"Sunday, Cruddy Sunday","https://www.tvmaze.com/episodes/5212/the-simpsons-10x12-sunday-cruddy-sunday"
216,10,13,07 Feb 99,"Homer to the Max","https://www.tvmaze.com/episodes/5213/the-simpsons-10x13-homer-to-the-max"
217,10,14,14 Feb 99,"I'm with Cupid","https://www.tvmaze.com/episodes/5214/the-simpsons-10x14-im-with-cupid"
218,10,15,21 Feb 99,"Marge Simpson in: "Screaming Yellow Honkers"","https://www.tvmaze.com/episodes/5215/the-simpsons-10x15-marge-simpson-in-screaming-yellow-honkers"
219,10,16,28 Feb 99,"Make Room for Lisa","https://www.tvmaze.com/episodes/5216/the-simpsons-10x16-make-room-for-lisa"
220,10,17,28 Mar 99,"Maximum Homerdrive","https://www.tvmaze.com/episodes/5217/the-simpsons-10x17-maximum-homerdrive"
221,10,18,04 Apr 99,"Simpsons Bible Stories","https://www.tvmaze.com/episodes/5218/the-simpsons-10x18-simpsons-bible-stories"
222,10,19,11 Apr 99,"Mom and Pop Art","https://www.tvmaze.com/episodes/5219/the-simpsons-10x19-mom-and-pop-art"
223,10,20,25 Apr 99,"The Old Man and the "C" Student","https://www.tvmaze.com/episodes/5220/the-simpsons-10x20-the-old-man-and-the-c-student"
224,10,21,02 May 99,"Monty Can't Buy Me Love","https://www.tvmaze.com/episodes/5221/the-simpsons-10x21-monty-cant-buy-me-love"
225,10,22,09 May 99,"They Saved Lisa's Brain","https://www.tvmaze.com/episodes/5222/the-simpsons-10x22-they-saved-lisas-brain"
226,10,23,16 May 99,"30 Minutes Over Tokyo","https://www.tvmaze.com/episodes/5223/the-simpsons-10x23-30-minutes-over-tokyo"
227,11,1,26 Sep 99,"Beyond Blunderdome","https://www.tvmaze.com/episodes/5224/the-simpsons-11x01-beyond-blunderdome"
228,11,2,03 Oct 99,"Brother's Little Helper","https://www.tvmaze.com/episodes/5225/the-simpsons-11x02-brothers-little-helper"
229,11,3,24 Oct 99,"Guess Who's Coming to Criticize Dinner","https://www.tvmaze.com/episodes/5226/the-simpsons-11x03-guess-whos-coming-to-criticize-dinner"
230,11,4,31 Oct 99,"Treehouse of Horror X","https://www.tvmaze.com/episodes/5227/the-simpsons-11x04-treehouse-of-horror-x"
231,11,5,07 Nov 99,"E-I-E-I-(Annoyed Grunt)","https://www.tvmaze.com/episodes/5228/the-simpsons-11x05-e-i-e-i-annoyed-grunt"
232,11,6,14 Nov 99,"Hello Gutter, Hello Fadder","https://www.tvmaze.com/episodes/5229/the-simpsons-11x06-hello-gutter-hello-fadder"
233,11,7,21 Nov 99,"Eight Misbehavin","https://www.tvmaze.com/episodes/5230/the-simpsons-11x07-eight-misbehavin"
234,11,8,28 Nov 99,"Take My Wife, Sleaze","https://www.tvmaze.com/episodes/5231/the-simpsons-11x08-take-my-wife-sleaze"
235,11,9,19 Dec 99,"Grift of the Magi","https://www.tvmaze.com/episodes/5232/the-simpsons-11x09-grift-of-the-magi"
236,11,10,09 Jan 00,"Little Big Mom","https://www.tvmaze.com/episodes/5233/the-simpsons-11x10-little-big-mom"
237,11,11,16 Jan 00,"Faith Off","https://www.tvmaze.com/episodes/5234/the-simpsons-11x11-faith-off"
238,11,12,23 Jan 00,"The Mansion Family","https://www.tvmaze.com/episodes/5235/the-simpsons-11x12-the-mansion-family"
239,11,13,06 Feb 00,"Saddlesore Galactica","https://www.tvmaze.com/episodes/5236/the-simpsons-11x13-saddlesore-galactica"
240,11,14,13 Feb 00,"Alone Again Natura-Diddily","https://www.tvmaze.com/episodes/5237/the-simpsons-11x14-alone-again-natura-diddily"
241,11,15,20 Feb 00,"Missionary Impossible","https://www.tvmaze.com/episodes/5238/the-simpsons-11x15-missionary-impossible"
242,11,16,27 Feb 00,"Pygmoelian","https://www.tvmaze.com/episodes/5239/the-simpsons-11x16-pygmoelian"
243,11,17,19 Mar 00,"Bart to the Future","https://www.tvmaze.com/episodes/5240/the-simpsons-11x17-bart-to-the-future"
244,11,18,09 Apr 00,"Days of Wine and D'Ohses","https://www.tvmaze.com/episodes/5241/the-simpsons-11x18-days-of-wine-and-dohses"
245,11,19,30 Apr 00,"Kill the Alligator and Run","https://www.tvmaze.com/episodes/5242/the-simpsons-11x19-kill-the-alligator-and-run"
246,11,20,07 May 00,"Last Tap Dance in Springfield","https://www.tvmaze.com/episodes/5243/the-simpsons-11x20-last-tap-dance-in-springfield"
247,11,21,14 May 00,"It's a Mad, Mad, Mad, Mad Marge","https://www.tvmaze.com/episodes/5244/the-simpsons-11x21-its-a-mad-mad-mad-mad-marge"
248,11,22,21 May 00,"Behind the Laughter","https://www.tvmaze.com/episodes/5245/the-simpsons-11x22-behind-the-laughter"
249,12,1,01 Nov 00,"Treehouse of Horror XI","https://www.tvmaze.com/episodes/5246/the-simpsons-12x01-treehouse-of-horror-xi"
250,12,2,05 Nov 00,"A Tale of Two Springfields","https://www.tvmaze.com/episodes/5247/the-simpsons-12x02-a-tale-of-two-springfields"
251,12,3,12 Nov 00,"Insane Clown Poppy","https://www.tvmaze.com/episodes/5248/the-simpsons-12x03-insane-clown-poppy"
252,12,4,19 Nov 00,"Lisa the Treehugger","https://www.tvmaze.com/episodes/5249/the-simpsons-12x04-lisa-the-treehugger"
253,12,5,26 Nov 00,"Homer vs. Dignity","https://www.tvmaze.com/episodes/5250/the-simpsons-12x05-homer-vs-dignity"
254,12,6,03 Dec 00,"The Computer Wore Menace Shoes","https://www.tvmaze.com/episodes/5251/the-simpsons-12x06-the-computer-wore-menace-shoes"
255,12,7,10 Dec 00,"The Great Money Caper","https://www.tvmaze.com/episodes/5252/the-simpsons-12x07-the-great-money-caper"
256,12,8,17 Dec 00,"Skinner's Sense of Snow","https://www.tvmaze.com/episodes/5253/the-simpsons-12x08-skinners-sense-of-snow"
257,12,9,07 Jan 01,"HOMR","https://www.tvmaze.com/episodes/5254/the-simpsons-12x09-homr"
258,12,10,14 Jan 01,"Pokeymom","https://www.tvmaze.com/episodes/5255/the-simpsons-12x10-pokeymom"
259,12,11,04 Feb 01,"Worst Episode Ever","https://www.tvmaze.com/episodes/5256/the-simpsons-12x11-worst-episode-ever"
260,12,12,11 Feb 01,"Tennis the Menace","https://www.tvmaze.com/episodes/5257/the-simpsons-12x12-tennis-the-menace"
261,12,13,18 Feb 01,"Day of the Jackanapes","https://www.tvmaze.com/episodes/5258/the-simpsons-12x13-day-of-the-jackanapes"
262,12,14,25 Feb 01,"New Kids on the Blecch","https://www.tvmaze.com/episodes/5259/the-simpsons-12x14-new-kids-on-the-blecch"
263,12,15,04 Mar 01,"Hungry Hungry Homer","https://www.tvmaze.com/episodes/5260/the-simpsons-12x15-hungry-hungry-homer"
264,12,16,11 Mar 01,"Bye Bye Nerdy","https://www.tvmaze.com/episodes/5261/the-simpsons-12x16-bye-bye-nerdy"
265,12,17,01 Apr 01,"Simpsons Safari","https://www.tvmaze.com/episodes/5262/the-simpsons-12x17-simpsons-safari"
266,12,18,29 Apr 01,"Trilogy of Error","https://www.tvmaze.com/episodes/5263/the-simpsons-12x18-trilogy-of-error"
267,12,19,06 May 01,"I'm Goin' to Praise Land","https://www.tvmaze.com/episodes/5264/the-simpsons-12x19-im-goin-to-praise-land"
268,12,20,13 May 01,"Children of a Lesser Clod","https://www.tvmaze.com/episodes/5265/the-simpsons-12x20-children-of-a-lesser-clod"
269,12,21,20 May 01,"Simpsons Tall Tales","https://www.tvmaze.com/episodes/5266/the-simpsons-12x21-simpsons-tall-tales"
270,13,1,06 Nov 01,"Treehouse of Horror XII","https://www.tvmaze.com/episodes/5267/the-simpsons-13x01-treehouse-of-horror-xii"
271,13,2,11 Nov 01,"The Parent Rap","https://www.tvmaze.com/episodes/5268/the-simpsons-13x02-the-parent-rap"
272,13,3,18 Nov 01,"Homer the Moe","https://www.tvmaze.com/episodes/5269/the-simpsons-13x03-homer-the-moe"
273,13,4,02 Dec 01,"Hunka Hunka Burns in Love","https://www.tvmaze.com/episodes/5270/the-simpsons-13x04-hunka-hunka-burns-in-love"
274,13,5,09 Dec 01,"The Blunder Years","https://www.tvmaze.com/episodes/5271/the-simpsons-13x05-the-blunder-years"
275,13,6,16 Dec 01,"She of Little Faith","https://www.tvmaze.com/episodes/5272/the-simpsons-13x06-she-of-little-faith"
276,13,7,06 Jan 02,"Brawl in the Family","https://www.tvmaze.com/episodes/5273/the-simpsons-13x07-brawl-in-the-family"
277,13,8,20 Jan 02,"Sweets and Sour Marge","https://www.tvmaze.com/episodes/5274/the-simpsons-13x08-sweets-and-sour-marge"
278,13,9,27 Jan 02,"Jaws Wired Shut","https://www.tvmaze.com/episodes/5275/the-simpsons-13x09-jaws-wired-shut"
279,13,10,10 Feb 02,"Half-Decent Proposal","https://www.tvmaze.com/episodes/5276/the-simpsons-13x10-half-decent-proposal"
280,13,11,17 Feb 02,"The Bart Wants What It Wants","https://www.tvmaze.com/episodes/5277/the-simpsons-13x11-the-bart-wants-what-it-wants"
281,13,12,24 Feb 02,"The Lastest Gun in the West","https://www.tvmaze.com/episodes/5278/the-simpsons-13x12-the-lastest-gun-in-the-west"
282,13,13,10 Mar 02,"The Old Man and the Key","https://www.tvmaze.com/episodes/5279/the-simpsons-13x13-the-old-man-and-the-key"
283,13,14,17 Mar 02,"Tales from the Public Domain","https://www.tvmaze.com/episodes/5280/the-simpsons-13x14-tales-from-the-public-domain"
284,13,15,31 Mar 02,"Blame It on Lisa","https://www.tvmaze.com/episodes/5281/the-simpsons-13x15-blame-it-on-lisa"
285,13,16,07 Apr 02,"Weekend at Burnsies","https://www.tvmaze.com/episodes/5282/the-simpsons-13x16-weekend-at-burnsies"
286,13,17,21 Apr 02,"Gump Roast","https://www.tvmaze.com/episodes/5283/the-simpsons-13x17-gump-roast"
287,13,18,28 Apr 02,"I Am Furious Yellow","https://www.tvmaze.com/episodes/5284/the-simpsons-13x18-i-am-furious-yellow"
288,13,19,05 May 02,"The Sweetest Apu","https://www.tvmaze.com/episodes/5285/the-simpsons-13x19-the-sweetest-apu"
289,13,20,12 May 02,"Little Girl in the Big Ten","https://www.tvmaze.com/episodes/5286/the-simpsons-13x20-little-girl-in-the-big-ten"
290,13,21,19 May 02,"Frying Game","https://www.tvmaze.com/episodes/5287/the-simpsons-13x21-frying-game"
291,13,22,22 May 02,"Papa's Got a Brand New Badge","https://www.tvmaze.com/episodes/5288/the-simpsons-13x22-papas-got-a-brand-new-badge"
292,14,1,03 Nov 02,"Treehouse of Horror XIII","https://www.tvmaze.com/episodes/5289/the-simpsons-14x01-treehouse-of-horror-xiii"
293,14,2,10 Nov 02,"How I Spent My Strummer Vacation","https://www.tvmaze.com/episodes/5290/the-simpsons-14x02-how-i-spent-my-strummer-vacation"
294,14,3,17 Nov 02,"Bart vs. Lisa vs. 3rd Grade","https://www.tvmaze.com/episodes/5291/the-simpsons-14x03-bart-vs-lisa-vs-3rd-grade"
295,14,4,24 Nov 02,"Large Marge","https://www.tvmaze.com/episodes/5292/the-simpsons-14x04-large-marge"
296,14,5,01 Dec 02,"Helter Shelter","https://www.tvmaze.com/episodes/5293/the-simpsons-14x05-helter-shelter"
297,14,6,15 Dec 02,"The Great Louse Detective","https://www.tvmaze.com/episodes/5294/the-simpsons-14x06-the-great-louse-detective"
298,14,7,05 Jan 03,"Special Edna (a.k.a. Love and Marking)","https://www.tvmaze.com/episodes/5295/the-simpsons-14x07-special-edna-aka-love-and-marking"
299,14,8,12 Jan 03,"The Dad Who Knew Too Little","https://www.tvmaze.com/episodes/5296/the-simpsons-14x08-the-dad-who-knew-too-little"
300,14,9,02 Feb 03,"The Strong Arms of the Ma","https://www.tvmaze.com/episodes/5297/the-simpsons-14x09-the-strong-arms-of-the-ma"
301,14,10,09 Feb 03,"Pray Anything","https://www.tvmaze.com/episodes/5298/the-simpsons-14x10-pray-anything"
302,14,11,16 Feb 03,"Barting Over","https://www.tvmaze.com/episodes/5299/the-simpsons-14x11-barting-over"
303,14,12,16 Feb 03,"I'm Spelling As Fast As I Can","https://www.tvmaze.com/episodes/5300/the-simpsons-14x12-im-spelling-as-fast-as-i-can"
304,14,13,02 Mar 03,"A Star is Born Again","https://www.tvmaze.com/episodes/5301/the-simpsons-14x13-a-star-is-born-again"
305,14,14,09 Mar 03,"Mr. Spritz Goes to Washington","https://www.tvmaze.com/episodes/5302/the-simpsons-14x14-mr-spritz-goes-to-washington"
306,14,15,16 Mar 03,"C. E. D'oh","https://www.tvmaze.com/episodes/5303/the-simpsons-14x15-c-e-doh"
307,14,16,30 Mar 03,"'Scuse Me While I Miss the Sky","https://www.tvmaze.com/episodes/5304/the-simpsons-14x16-scuse-me-while-i-miss-the-sky"
308,14,17,13 Apr 03,"Three Gays of the Condo","https://www.tvmaze.com/episodes/5305/the-simpsons-14x17-three-gays-of-the-condo"
309,14,18,27 Apr 03,"Dude, Where's My Ranch?","https://www.tvmaze.com/episodes/5306/the-simpsons-14x18-dude-wheres-my-ranch"
310,14,19,04 May 03,"Old Yeller-Belly","https://www.tvmaze.com/episodes/5307/the-simpsons-14x19-old-yeller-belly"
311,14,20,11 May 03,"Brake My Wife, Please","https://www.tvmaze.com/episodes/5308/the-simpsons-14x20-brake-my-wife-please"
312,14,21,18 May 03,"The Bart of War","https://www.tvmaze.com/episodes/5309/the-simpsons-14x21-the-bart-of-war"
313,14,22,18 May 03,"Moe Baby Blues","https://www.tvmaze.com/episodes/5310/the-simpsons-14x22-moe-baby-blues"
314,15,1,02 Nov 03,"Treehouse of Horror XIV","https://www.tvmaze.com/episodes/5311/the-simpsons-15x01-treehouse-of-horror-xiv"
315,15,2,09 Nov 03,"My Mother the Carjacker","https://www.tvmaze.com/episodes/5312/the-simpsons-15x02-my-mother-the-carjacker"
316,15,3,16 Nov 03,"The President Wore Pearls","https://www.tvmaze.com/episodes/5313/the-simpsons-15x03-the-president-wore-pearls"
317,15,4,23 Nov 03,"The Regina Monologues","https://www.tvmaze.com/episodes/5314/the-simpsons-15x04-the-regina-monologues"
318,15,5,30 Nov 03,"The Fat and the Furriest","https://www.tvmaze.com/episodes/5315/the-simpsons-15x05-the-fat-and-the-furriest"
319,15,6,07 Dec 03,"Today I Am a Klown","https://www.tvmaze.com/episodes/5316/the-simpsons-15x06-today-i-am-a-klown"
320,15,7,14 Dec 03,"'Tis the Fifteenth Season","https://www.tvmaze.com/episodes/5317/the-simpsons-15x07-tis-the-fifteenth-season"
321,15,8,04 Jan 04,"Marge vs. Singles, Seniors, Childless Couples and Teens, and Gays","https://www.tvmaze.com/episodes/5318/the-simpsons-15x08-marge-vs-singles-seniors-childless-couples-and-teens-and-gays"
322,15,9,11 Jan 04,"I, (Annoyed Grunt)-Bot","https://www.tvmaze.com/episodes/5319/the-simpsons-15x09-i-annoyed-grunt-bot"
323,15,10,25 Jan 04,"Diatribe of a Mad Housewife","https://www.tvmaze.com/episodes/5320/the-simpsons-15x10-diatribe-of-a-mad-housewife"
324,15,11,08 Feb 04,"Margical History Tour","https://www.tvmaze.com/episodes/5321/the-simpsons-15x11-margical-history-tour"
325,15,12,15 Feb 04,"Milhouse Doesn't Live Here Anymore","https://www.tvmaze.com/episodes/5322/the-simpsons-15x12-milhouse-doesnt-live-here-anymore"
326,15,13,22 Feb 04,"Smart & Smarter","https://www.tvmaze.com/episodes/5323/the-simpsons-15x13-smart-smarter"
327,15,14,14 Mar 04,"The Ziff Who Came to Dinner","https://www.tvmaze.com/episodes/5324/the-simpsons-15x14-the-ziff-who-came-to-dinner"
328,15,15,21 Mar 04,"Co-Dependent's Day","https://www.tvmaze.com/episodes/5325/the-simpsons-15x15-co-dependents-day"
329,15,16,28 Mar 04,"Wandering Juvie","https://www.tvmaze.com/episodes/5326/the-simpsons-15x16-wandering-juvie"
330,15,17,18 Apr 04,"My Big Fat Geek Wedding","https://www.tvmaze.com/episodes/5327/the-simpsons-15x17-my-big-fat-geek-wedding"
331,15,18,25 Apr 04,"Catch 'Em If You Can","https://www.tvmaze.com/episodes/5328/the-simpsons-15x18-catch-em-if-you-can"
332,15,19,02 May 04,"Simple Simpson","https://www.tvmaze.com/episodes/5329/the-simpsons-15x19-simple-simpson"
333,15,20,09 May 04,"The Way We Weren't","https://www.tvmaze.com/episodes/5330/the-simpsons-15x20-the-way-we-werent"
334,15,21,16 May 04,"Bart-Mangled Banner","https://www.tvmaze.com/episodes/5331/the-simpsons-15x21-bart-mangled-banner"
335,15,22,23 May 04,"Fraudcast News","https://www.tvmaze.com/episodes/5332/the-simpsons-15x22-fraudcast-news"
